namespace label|resource label|namespace|resource uri|parent uri|domain|range
dbo|flag Link|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/flagLink|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||http://www.w3.org/2001/XMLSchema#string
dbo|flag size|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/flagSize|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Flag|http://www.w3.org/2001/XMLSchema#integer
dbo|flash point|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/flashPoint|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2001/XMLSchema#integer
dbo|flooding date|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/floodingDate|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||http://www.w3.org/2001/XMLSchema#date
dbo|floor area (m2)|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/floorArea|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Building|http://www.w3.org/2001/XMLSchema#double
dbo|floor count|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/floorCount|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Building|http://www.w3.org/2001/XMLSchema#positiveInteger
dbo|flora|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/flora|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Place|http://www.w3.org/2001/XMLSchema#string
dbo|flower|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/flower|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Place|http://dbpedia.org/ontology/Species
dbo|flying hours (s)|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/flyingHours|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/MilitaryUnit|http://www.w3.org/2001/XMLSchema#double
dbo|foal date|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/foalDate|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Animal|http://www.w3.org/2001/XMLSchema#date
dbo|focus|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/focus|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||
dbo|followed by|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/followedBy|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||
dbo|following event|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/followingEvent|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Event|http://dbpedia.org/ontology/Event
dbo|follows|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/follows|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||
dbo|foot|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/foot|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Person|http://www.w3.org/2001/XMLSchema#string
dbo|Footedness|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/footedness|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Sport|http://dbpedia.org/ontology/Person
dbo|forces|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/forces|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||http://www.w3.org/2001/XMLSchema#string
